id,name,amount,annual_rate,capital_valuation,risk_category,term_remaining,loan_term,ltv,your_net_instructions,mla_accrued_interest,your_total_holding,your_access_holdings,your_mla_holdings,units_available,last_updated,trading_status,next_payment_date,your_standard_notes,your_isa_notes
1625,Care Mithra Ltd / Brierfield,870000,10.95,95.69,Default,18,36,60,,,5.47696665,5.47696665,,0,2025-01-14 18:43:47 +08:00,credit event suspended,2024-02-09,,
1623,LNR Property Ltd,187000,7,100,Medium,33,60,60.39607333,,,0.9643245173,0.9643245173,,130148.117,2023-03-29 23:39:18 +08:00,,2025-02-26,,
1622,McArdle Marketing Ltd,160107,7,100,Medium Low,33,60,61.29566,,,0.5836772295,0.5836772295,,79718.62461,2023-03-29 23:40:46 +08:00,,2025-02-21,,
1619,Corylus Estates Limited,266000,7,100,Medium High,21,48,67.82433947,,,1.795778658,1.795778658,,0,2023-03-29 23:34:24 +08:00,,2025-02-18,,
1618,Expedia Capital (Thornleigh) Limited - REFINANCE,572917,7,100,Medium,33,60,56.64462974,,,3.177224754,3.177224754,,0,2024-11-14 22:18:33 +08:00,monitoring event,2025-02-17,,
1617,Ambient Care Limited / Mulligan,390000,7,100,Medium High,9,36,64.70930167,,,1.739335907,1.739335907,,26657.69734,2023-03-30 00:11:03 +08:00,,2025-02-12,,
1612,Stephen Hamilton,684000,7,100,Medium,33,60,56.9861693,,,0.4944446028,0.4944446028,,131853.0033,2023-03-29 23:21:02 +08:00,,2025-02-03,,
1607,TLC Life Limited-  Welshpool,850000,5,100,Medium,32,60,55.80738415,,,6.09412816,6.09412816,,0,2023-11-13 08:00:00 +08:00,,2025-02-08,,
1606,"Tarren Production Ltd | Orchard Farm, Bentham",825000,5,100,Medium,8,36,66.18123667,,,5.930215232,5.930215232,,64188.82425,2023-03-29 23:19:52 +08:00,,2025-02-08,,
1605,Charles Edward Properties Ltd,843750,5,100,Medium High,20,48,69.94854667,,,5.916063841,5.916063841,,236836.4944,2023-09-07 17:49:20 +08:00,,2025-02-06,,
1604,Clifton Properties (Yorkshire) Limited | Yorkshire | Refinance,2203500,5,100,Medium,32,60,56.73247107,,,15.75676396,15.75676396,,0,2024-06-13 07:00:00 +08:00,,2025-02-05,,
1603,Kartay Holdings Ltd (11797378),630000,5,100,Medium,32,60,70,,,4.652956415,4.652956415,,0,2024-07-01 16:57:09 +08:00,,2025-02-01,,
1602,Nisi Dominus Frustra Ltd / St Cecilia Care Home,742500,5,100,Medium Low,32,60,52.94486,,,5.120638474,5.120638474,,203781.5839,2023-03-30 16:37:42 +08:00,,2025-02-06,,
1601,Zaydan Healthcare Limited (was Sanya Javid / Four Seasons),366000,5,100,Medium Low,32,60,50.53497714,,,2.508419186,2.508419186,,10306.33012,2023-03-29 22:05:08 +08:00,,2025-01-31,,
1600,Lenity Healthcare Ltd | Carseld Residential Home,450000,5.5,100,Medium High,31,60,69.31126333,,,3.023843757,3.023843757,,0,2024-11-25 18:02:07 +08:00,monitoring event,2025-02-24,,
1594,Megson Construction Limited,1450000,5,99.8,Medium,31,60,63.865668,,,9.252518049,9.252518049,,2414.397873,2023-03-29 21:58:15 +08:00,,2025-02-16,,
1593,Carrowcrin Limited Phase 2 Kilraughts Road Ballymoney,1055627.64,9.25,100,Medium High,2,30,67.54344828,,,2.419259425,2.419259425,,0,2024-12-13 19:18:16 +08:00,monitoring event,2025-01-12,,
1591,HH Norfolk Limited  (Loan 2) -  Norfolk,1680000,5,100,Medium Low,31,60,44.61160331,,,11.66702105,11.66702105,,75158.7227,2023-03-30 00:00:17 +08:00,,2025-02-12,,
1590,Vagon Ltd - Top Up Loan,389434.78,0,100,Medium High,-1,29,61.98256477,,,2.077339855,2.077339855,,0,2025-01-07 08:00:00 +08:00,,2023-05-12,,
1589,T M Trustees Limited ( Talbot & Muir re- Paul Burton SIPP ),154000,5,100,Medium Low,7,36,36.1605825,,,0.5732561416,0.5732561416,,79267.83614,2023-03-29 23:43:09 +08:00,,2025-02-11,,
1586,AON Estates Ltd. | Manchester,656250,5,100,Medium High,19,48,71.85915771,,,4.530461711,4.530461711,,0,2024-05-16 19:26:10 +08:00,,2025-01-29,,
1585,Bishopp & Co Ltd | Investment Property,450000,5.5,100,Medium High,30,60,65.17938915,,,2.892082104,2.892082104,,257764.1479,2023-03-29 22:25:35 +08:00,,2025-02-27,,
1581,Bothwick Sands Ltd,400000,5,100,Medium Low,30,60,43.72783222,,,2.515129629,2.515129629,,226248.66,2023-03-29 22:27:30 +08:00,,2025-02-22,,
1580,Grand Park Homes Limited TA St Georges Nursing Home,665000,5,100,Medium,30,60,57.91106727,,,4.503007304,4.503007304,,0,2025-01-09 16:54:51 +08:00,,2025-02-20,,
1579,Highline Homes (Strathblane) Limited,1392737.18,9,100,Medium High,3,31,69.91044776,,,2.673218688,2.673218688,,0,2025-01-16 01:11:16 +08:00,temporary suspension,2024-04-15,,
1577,Trom4 Limited   -  Windermere,645000,5,100,Medium,30,60,70.95482011,,,4.3724128,4.3724128,,256477.1326,2023-03-29 21:57:03 +08:00,,2025-02-07,,
1575,Shaivaa Care Limited -  Llandudno,292500,5.5,100,Medium High,30,60,61.13200444,,,1.869866335,1.869866335,,247018.7025,2023-03-29 23:33:47 +08:00,,2025-02-05,,
1573,Lets Direct Limited | Commercial Investment Portfolio | Essex,1200000,5,100,Medium,30,60,58.88358905,,,8.198924152,8.198924152,,266881.0929,2023-03-29 21:46:38 +08:00,,2025-01-30,,
1572,Fenham Properties Limited | Refinance,1000000,5,100,Medium,30,60,47.24009744,,,5.508193021,5.508193021,,81706.83824,2023-03-30 00:02:51 +08:00,,2025-01-30,,
1565,Woledge Properties Ltd | Commercial Investment,273750,5,100,Medium Low,29,60,66.58874247,,,1.642321415,1.642321415,,232218.2425,2023-03-29 22:07:04 +08:00,,2025-02-20,,
1564,The Pie Counter Company Limited  |  Worthing,750000,5,100,Medium,29,60,42.91087145,,,4.652982456,4.652982456,,0,2024-12-05 18:05:59 +08:00,,2025-02-16,,
1563,AMAC13 Property Ltd,128963,5,100,Medium,29,60,68.48367549,,,0.7825704337,0.7825704337,,112189.5268,2024-08-08 19:07:38 +08:00,,2025-02-15,,
1561,John Diller | Watford,200000,5,100,Medium,29,60,58.95305538,,,1.235475403,1.235475403,,0,2024-10-17 18:02:31 +08:00,,2025-02-10,,
1560,Samantha Racey | Woodlands Residential Home for Ladies | Colchester,1300000,5,100,Medium,29,60,40.81833109,,,8.302450128,8.302450128,,46209.39877,2023-03-29 21:35:59 +08:00,,2025-02-01,,
1559,Brightside Respite Services Limited  | North East,327750,6.5,100,Medium High,17,48,70.66146591,,,2.13641536,2.13641536,,0,2023-05-18 22:48:51 +08:00,,2025-02-01,,
1551,Alistair Steele - Equality House,3150000,5,100,Medium,4,36,53.4678078,,,16.23024217,16.23024217,,0,2024-12-05 08:00:00 +08:00,,2025-02-17,,
1549,Pentire Estate Limited,352500,5,100,Medium,28,60,70.96840426,,,2.370484166,2.370484166,,243034.5293,2023-03-29 22:05:32 +08:00,,2025-02-10,,
1544,ABBS 3 Properties Limited,1202500,5,100,Medium Low,27,60,58.919765,,,8.227461397,8.227461397,,67787.12628,2023-03-29 21:37:07 +08:00,,2025-02-28,,
1543,Merit Property Powder Mill Limited,997500,5,100,Medium,4,36,67.40805544,,,6.622005095,6.622005095,,58055.95087,2023-03-29 21:48:22 +08:00,,2025-01-28,,
1541,McGettigan Holdings Limited Strabane,820000,5,100,Medium,27,60,57.22007846,,,5.037947819,5.037947819,,54047.6358,2023-03-29 23:20:10 +08:00,,2025-02-14,,
1540,Portbannis AM 2 Ltd,711340,5,100,Medium,3,36,21.75745244,,,1.643431319,1.643431319,,58272.08735,2024-12-04 22:52:17 +08:00,,2025-02-14,,
1539,Nathan Williams | Noughts & Crosses | Polperro,226656,5,100,Medium High,27,60,67.14782188,,,1.396756969,1.396756969,,190570.7378,2023-03-29 23:36:22 +08:00,,2025-02-08,,
1538,Peninsular Devs - Former Exmouth View Hotel,1125000,6.5,92,Default,3,34,67.68032168,,,8.500609422,8.500609422,,0,2024-12-09 20:18:23 +08:00,credit event suspended,2022-09-28,,
1537,Rooted Properties Limited | Lincoln,311250,5,100,Medium High,27,60,72.14514217,,,2.106771955,2.106771955,,0,2024-06-10 22:25:55 +08:00,,2025-01-31,,
1536,Harbour Mills Limited - Refinance,2403340,5,100,Medium,27,60,42.3403734,,,12.69667978,12.69667978,,172086.2769,2023-03-29 23:11:08 +08:00,,2025-01-30,,
1534,SLG (2021) Limited - Macclesfield,1735500,5,100,Medium,26,60,54.52305543,,,10.28411943,10.28411943,,78667.5626,2023-03-29 21:35:08 +08:00,,2025-02-22,,
1532,Tate Estates (Lambert House) Limited,2644708,13.25,100,Medium High,1,35,67.19278455,,,6.980595211,6.980595211,,0,2025-01-28 22:09:42 +08:00,temporary suspension,2025-02-16,,
1531,Niwas Care Home Limited | Castleford,430000,5,100,Medium Low,26,60,53.10551948,,,2.822043434,2.822043434,,230081.7142,2023-03-29 22:01:42 +08:00,,2025-02-11,,
1528,Barenskie & Hill trading as The Old Smiddy Guesthouse,195000,5,100,Medium,25,60,62.07631333,,,1.268021358,1.268021358,,173855.0039,2023-03-29 22:09:14 +08:00,,2025-02-23,,
1526,Sakhi Real Estate Limited | Chesterfield,714671.32,7.5,100,Medium High,3,36,63.15789474,,,5.279568862,5.279568862,,0,2024-12-12 16:51:12 +08:00,monitoring event suspended,2024-02-14,,
1524,Geoffrey A Harvey - Rose Cottage,247500,5,100,Medium,1,36,75,,,1.674262843,1.674262843,,0,2025-01-27 20:01:38 +08:00,,2025-02-21,,
1521,HPS SPV 1 LTD,2900000,5,100,Medium,25,60,62.91519346,,,16.69341878,16.69341878,,0,2024-12-17 19:23:25 +08:00,,2025-01-31,,
